1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15
UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect
Caveolin-1,-0.4077074005720512,ATM,-0.2532391429490571,Annexin-1,-0.38883468439918795,PR,-0.21957300635958782,c-Kit,-0.2920721657723807,beta-Catenin,-0.3837106631985573,Claudin-7,-0.2777941381874378,BIP,-0.2965466098818459,VEGFR-2,-0.17763786095049933,Annexin-1,-0.2868479548859397,PR,-0.36783901137675395,PDH,-0.2345764064677863,PKC-alpha_pS657,-0.3798928899951879,Cyclin-E1,-0.2753083665229353,c-Jun_pS73,-0.20212561950404406
Annexin-1,-0.37772543932356006,Cyclin-B1,-0.23834491614313622,Caveolin-1,-0.2800237693556749,PTEN,-0.20794454655585962,ER-alpha,-0.24138067001802307,Annexin-1,-0.20289552834542554,PTEN,-0.23314923892641237,PR,-0.25674529826496945,Cyclophilin-D,-0.1389038661684458,FoxO3a,-0.2858990933003894,Notch3,-0.22609780431367132,Bcl2,-0.22076919070564557,Notch3,-0.27888786403688803,PTEN,-0.24056744538818486,EGFR,-0.1947216253546781
PKC-alpha_pS657,-0.18665567556801527,Cyclophilin-D,-0.17563203517021586,ATM,-0.26276815841766693,ER-alpha,-0.19563999775290167,PTEN,-0.20437829026634088,IGF1R-b,-0.1423668851414862,Rab25,-0.15225114704934764,Cox2,-0.2061478748771766,P70S6K,-0.1212747779415156,BIP,-0.18309847425241493,Snail,-0.17113384497702336,P70S6K,-0.19756010837849025,PKC-alpha,-0.26808438586203176,Cyclin-B1,-0.23307703016450507,FoxO3a,-0.19347886249126328
PKC-alpha,-0.16903048902379575,Ku80,-0.17278536663125088,Claudin-7,-0.25665841736389394,Cyclin-B1,-0.19492128934326397,PR,-0.18707855888503083,PR,-0.13995942948735654,EGFR,-0.13004644211580238,NFKB-P65,-0.18534071522465306,AR,-0.1167058723148725,IGFBP2,-0.17225434822554475,YAP_pS127,-0.14048567134130766,AIF,-0.18833578801308715,IGF1R-b,-0.18014624040563282,IGFBP2,-0.1897183600709219,E-Cadherin,-0.1608899510121782
Cox2,-0.0761568457095795,P62,-0.1725700941818199,Ku80,-0.2263343505870832,P70S6K,-0.1610579992091199,IGF1R-b,-0.15870324172153866,p53,-0.13075988310016684,Annexin-1,-0.11780269028112401,ATM,-0.17704880706596177,Bim,-0.1094480586324808,HER2,-0.16176236633888774,NF2,-0.13654909777896346,CD31,-0.1845546329895698,BIP,-0.1661255561013633,beta-Catenin,-0.18753078988000355,P62,-0.15035647047106931
PTCH,-0.06593192540750166,c-Kit,-0.15729309148825035,Cyclin-B1,-0.21683467405285234,P62,-0.15540685383368877,53BP1,-0.15400245902218454,E-Cadherin,-0.13042500794416712,CASPASE7_CLEAVED,-0.11568078218857451,PDH,-0.168439516425632,Snail,-0.10147113914346984,Akt_pT308,-0.13892568138491207,Chk2,-0.13387878995899904,AIB1,-0.18374410674263492,P70S6K,-0.1606753983058041,Rb_pS807_S811,-0.1638125897263453,IGFBP2,-0.14648490722971327
Transglutaminase,-0.06306340228595854,Rb_pS807_S811,-0.15534398690783868,MSH2,-0.21146060842883868,TSC2,-0.1545326354950894,Bcl2,-0.15165464645320462,c-Kit,-0.12064549483053946,MSH2,-0.09999163036271551,Cyclophilin-D,-0.1642350122492534,BIP,-0.09876371200556829,c-Jun_pS73,-0.13499796909084966,Src,-0.13257725038178034,KRAS,-0.1836522067652432,P-Cadherin,-0.154909682862438,KRAS,-0.16205132809376058,IGF1R-b,-0.13810454000213518
NFKB-P65,-0.05857001708552665,MSH2,-0.1471947414427208,ATP_SYNTHASE_SUBUNIT_A,-0.1790302084213244,Rb_pS807_S811,-0.14108468779238767,Rb_pS807_S811,-0.14451333176531705,NFKB-P65,-0.11410234996802716,NF-kB-p65_pS536,-0.07824210517747762,YAP_pS127,-0.13806824034674156,Caveolin-1,-0.09861030612732814,PR,-0.13144271097040025,BIP,-0.12929529922647998,Smad4,-0.16622539595664557,Cox2,-0.15397940969681154,Rb,-0.16160865454593762,Caveolin-1,-0.11380729657121932
